Res_User_Id,Res_Id,Res_User_Rating,Res_User_Review_Date,Res_User_Review
796,4929,5,2 months ago,"Món ngan cháy tỏi được ướp thấm các gia vị, tỏi và hành giòn, có vị ngọt, béo.
Mình kêu nửa con cháy tỏi, 1 phần miến xào, 1 ly nước quýt hết 305k"
796,2795,4,,
796,1846,5,,
812,4929,5,7 months ago,"Hai vc tình cờ đi qua nên vào ăn thử. Không ngờ ngon phết. Hình như cs2 của Hàng Lược.
Quán sạch sẽ.
Đồ vừa vặn, nêm nếm vừa, ngon, hợp khẩu vị."
812,1474,4,,
802,1474,2,6 days ago,"Chả cá ăn bình thường, bát hành hơi bẩn không được sạch, vài cọng úa và có sạn, nhân viên quá chậm chạp. Chưa kể ăn xong về bị đau bụng, trải nghiệm thử lần đầu nhưng sẽ không quay lại"
802,1846,3,,
802,3233,5,,
631,1474,1,6 days ago,"nhân viên phục vụ thái độ khinh khỉnh, không niềm nở. Lần đầu đến ăn nhưng không có người tư vấn, đi 6 người gọi 4 phần cá nhân viên cười như mỉa mai như không thèm phục vụ. Trải nghiệm rất tệ cho chuyến du lịch."
631,1152,5,,
631,1811,3,,
898,1474,5,2 months ago,"quán đẹp , đồ ăn ngon và nv siêu thân thiện . hôm mình đến trời rét em mình thấy nhân viên ăn mì nên tưởng có trong menu nên order nhưng ai ngờ là bữa trưa của nhân viên 🤣nhưng không ngờ anh quản lí cũng úp cho em mình bát mì thật"
898,1811,5,,
898,3305,4,,
509,1474,2,2 weeks ago,Không gian cây xanh ok nhưng chả cá thì chiên không đều nên là miếng sống bị bỏ đi lãng phí. Không muốn quay lại.
509,3305,3,,
172,2405,5,6 days ago,"Mình rất thích ăn quán này
Mình là người miền Nam ra mà khẩu vị ăn cũng rất hợp
Một phần như vậy không qua đắc
Quán khá đông nên Ngồi hơi nóng tí
Nói chung là mọi người nên qua ăn thử không thất vọng đâu"
172,1463,4,,
860,2405,4,1 month ago,Có 2 suất ăn 40k và 60k. Suất 60k sẽ có thêm lòng. Giá hợp lý cho 1 suất ăn no nê với rất nhiều topping. Phục vụ khá nhanh. Không gian hơi chật và ngồi hơi khó chịu chút.
860,1463,5,,
860,3332,3,,
943,2795,5,1 week ago,"Đồ ăn ra nhanh. Sạch sẽ. Miếng thịt hay miếng chả đều đầy đặn, nướng vừa tới. Miếng chả cắn ngập răng. Nước chấm đậm đà. Tiêu rất thơm. Tỏi băm là tỏi mới. Ớt xắt ở đây siêu cay và thơm, hợp với tín đồ thích ăn cay. 1 suất đầy đặn, nhiều thịt chả và bún, ăn no phè phỡn. Sữa đậu không ngon lắm. Nem quá nhiều giá, không ngon."
943,4929,2,,
943,1474,5,,
225,2795,3,2 months ago,"Quán phục vụ nhanh và chuyên nghiệp. Bún chả chất lượng không còn như trước, chả miếng không bỏ bì ăn hơi ngấy. Chả băm ngon hơn. Nước mắm quá ngọt. Nem ăn ngấy, không có vị hải sản nhiều."
225,3233,3,,
783,2795,1,1 month ago,"Bún chả tệ nhất từng ăn, thua cả những hàng nhỏ lẻ bên đường. Ko hiểu sao lại nổi.
Miếng thịt khô, cháy đen, không có vị gì. Chả nem không ngon. Nước mắm quá ngọt. 90k 1 suất. Ăn rất chán và thất vọng"
783,1463,2,,
180,1846,4,5 months ago,quán bún riêu có vị nước dùng khá vừa vặn mà ko bị chua nhiều như các quán bún riêu tại Hà Nội khác. không gian khá khiêm tốn.
180,4929,5,,
849,1846,5,5 months ago,"Ngon, đầy đặn, tác phong các cô phục vụ nhanh nhẹn"
849,4929,4,,
876,1846,5,7 months ago,"Bún riêu ngon , vừa miệng , nhiều topping . Mình đi vào cuối tuần nên hơi đông , các chị phục vụ hơi chậm & quên đồ mình gọi thêm ."
876,1152,3,,
615,1846,1,8 months ago,"
thái độ tồi tệ, mất vệ sinh"
615,2552,2,,
615,3305,5,,
483,3233,5,4 weeks ago,"Không gian quán nhỏ nhưng khá đông khách, mọi người phải đứng chờ khá lâu mới đến lượt. Đồ ăn ngon, giá cả phải chăng."
483,2596,3,,
288,3233,3,3 days ago,"Ăn cũng bình thường thôi, mình gọi 2 người 10 cái mà chủ quán bảo cứ gọi 4 cái trước xem ăn hết không, đúng là ăn mỗi người tầm 2,3 cái là cũng khá ngấy rồi"
288,4328,4,,
288,4001,5,,
